GEOID,County,Score,Percentile,DAC,area
6061021129,Placer,21.078332875279333,40.141200201714575,No,1739268.29
6061021130,Placer,7.915538234267539,8.333333333333332,No,899132.49
6061021131,Placer,7.614881223745455,7.917297024710034,No,1785361.24
6061021203,Placer,8.816977937505781,10.237014624306608,No,14941937.16
6061021204,Placer,7.574359218186362,7.841654059505799,No,31291279.52
6061021304,Placer,16.016660051015755,27.899646999495715,No,203526027.23
6061021309,Placer,4.780874921126124,2.710539586485124,No,
6061021322,Placer,16.55394627450702,29.23600605143722,No,
6061021323,,,,Missing,8911135.2
6061021324,,,,Missing,4111999.16
6061021325,,,,Missing,6431383.55
6061021326,,,,Missing,2587280.27
6061021327,,,,Missing,64331715.96
6061021328,,,,Missing,185168207.95
6061021401,Placer,22.14591269231472,42.42309631870903,No,3064992.14
6061021403,Placer,13.963184535488407,22.894604135148764,No,2625453.1
6061021501,Placer,12.238170727112756,18.545133635905195,No,27847857.35
6061021502,Placer,14.667547038101368,24.71003530005043,No,7413775.35
6061021603,Placer,13.418650940266277,21.52042360060514,No,4230048.38
6061021604,Placer,5.807873458679334,4.324256177508825,No,94245155.42
6061021801,Placer,12.626870491292705,19.47806354009077,No,33774048.03
6061021802,Placer,20.136881424766187,37.80887544125063,No,21500172.18
6061021901,Placer,6.601636435250482,5.925365607665154,No,43051100.89
6061021902,Placer,6.7479906597838895,6.253151790216843,No,25230553.06
6061022002,Placer,9.337518329909276,11.258194654563791,No,65138483.88
6061022011,Placer,7.993004538888856,8.497226424609178,No,130723987.68
6061022013,Placer,17.285186571954544,31.038830055471507,No,327670198.79
6061022014,Placer,5.16956176069462,3.303076147251639,No,319177229.08
6061022100,,,,Missing,60172766.68
6061022200,Placer,5.325615499061019,3.605648008068583,No,24059645.24
6061022300,,,,Missing,28423530.32
6061022400,Placer,9.564708055579525,11.86333837619768,No,3162240.76
6061022500,Placer,8.829267367772454,10.287443267776098,No,13481845.54
6061022600,Placer,17.91231412122999,32.50126071608674,No,3065366.18
6061022800,Placer,10.046775654064543,13.048411497730712,No,2972633.75
6061022900,Placer,8.320634484352384,9.1780131114473,No,1795865.71
6061023000,Placer,6.89831065582639,6.56833081190116,No,4767386.08
6061023100,Placer,10.257211372957755,13.61573373676248,No,4599201.16
6061023200,Placer,8.72899649553641,10.02269288956127,No,12932657.99
6061023300,Placer,6.708681827578962,6.1522945032778615,No,5276812.96
6061023400,Placer,13.803413508093444,22.46596066565809,No,17069167.47
6061023500,Placer,4.9750269320447975,3.000504286434695,No,
6061023501,,,,Missing,3432201.33
6061023502,,,,Missing,9819989.0
6061023600,Placer,4.637529683596056,2.4583963691376702,No,4474653.43
6061023700,Placer,8.385443936272319,9.379727685325264,No,4641974.99
6061023800,Placer,11.753172552669533,17.221381744831064,No,8038229.68
6061023900,Placer,7.313638487958411,7.375189107413011,No,4222533.12
6061990000,,,,Missing,199129975.18
6063000100,Plumas,15.140391744187436,25.85728693898134,No,147995642.23
6063000201,Plumas,9.032377298612316,10.665658093797276,No,339655789.59
6063000202,Plumas,11.933973464059903,17.72566817952597,No,1665270344.31
6063000300,Plumas,19.68503733847165,36.712052445789205,No,1716831437.65
6063000400,Plumas,22.86114973980481,44.08724155320222,No,1829627778.18
6063000501,Plumas,15.843096972172532,27.4457892082703,No,330785680.34
6063000502,Plumas,17.483606716970105,31.492687846696928,No,886637265.43
6065030101,Riverside,39.38287393204683,73.91578416540595,No,466713.92
6065030103,Riverside,63.552327743403865,97.28946041351487,Yes,996512.47
6065030104,Riverside,57.89717771387304,94.47806354009076,Yes,3474080.14
6065030200,Riverside,49.87440143049121,87.72062531517902,Yes,5716155.6
6065030300,Riverside,67.07294268370035,98.44931921331316,Yes,2471236.99
6065030400,Riverside,68.45044824071246,98.7518910741301,Yes,2760702.08
6065030501,Riverside,43.65564628130916,80.33282904689864,Yes,1868645.86
6065030502,Riverside,71.87476141557478,99.33182047402926,Yes,1957945.62
6065030503,Riverside,51.59106610452362,89.53605648008069,Yes,556682.64
6065030601,Riverside,19.115903477735756,35.43872919818457,No,
6065030602,Riverside,16.89275282433897,30.206757438224912,No,3346442.7
6065030603,Riverside,17.748356490759708,32.1482602118003,No,3615603.05
6065030604,,,,Missing,6276125.39
6065030605,,,,Missing,7532087.18
6065030700,Riverside,28.28423407074933,55.43368633383762,No,2488469.92
6065030800,Riverside,23.82783924332864,46.33131618759455,No,4357885.18
6065030900,Riverside,35.53536723929063,68.44427634896621,No,6238927.01
6065031001,Riverside,25.415295452261557,49.7226424609178,No,1980193.2
6065031002,Riverside,43.82327718866411,80.58497226424609,Yes,1257536.72
6065031100,Riverside,38.99734650769601,73.44931921331316,No,2858876.46
6065031200,Riverside,33.27090695516032,64.51084215834594,No,3830002.72
